time,month,pCO2
21.25,2022_12,885.4474961
21.75,2022_12,876.0954575
22.25,2022_12,890.1915081
22.75,2022_12,898.6508181
23.25,2022_12,905.0512683
23.75,2022_12,892.9155713
0.25,2023_01,970.7322079
0.75,2023_01,978.7174705
1.25,2023_01,985.7160261
1.75,2023_01,989.905512
2.25,2023_01,1001.903547
2.75,2023_01,1014.2409
3.25,2023_01,1037.605681
3.75,2023_01,1047.322741
4.25,2023_01,1049.041417
4.75,2023_01,1058.4318
5.25,2023_01,1065.596865
5.75,2023_01,1086.547504
6.25,2023_01,1103.803016
6.75,2023_01,1115.071626
7.25,2023_01,1108.641426
7.75,2023_01,1118.512934
8.25,2023_01,1124.208731
8.75,2023_01,1184.767036
9.25,2023_01,1297.150268
9.75,2023_01,1323.060041
10.25,2023_01,1319.138276
10.75,2023_01,1311.555555
11.25,2023_01,1248.002934
11.75,2023_01,1133.986602
12.25,2023_01,1058.950133
12.75,2023_01,1135.411106
13.25,2023_01,946.1884979
13.75,2023_01,985.6749296
14.25,2023_01,909.0726138
14.75,2023_01,868.6962583
15.25,2023_01,948.6557787
15.75,2023_01,967.5502577
16.25,2023_01,956.2822386
16.75,2023_01,872.5490648
17.25,2023_01,829.1782843
17.75,2023_01,813.1611776
18.25,2023_01,798.0703655
18.75,2023_01,824.9816501
19.25,2023_01,838.119362
19.75,2023_01,859.0099295
20.25,2023_01,865.5742504
20.75,2023_01,884.0913769
21.25,2023_01,901.355651
21.75,2023_01,925.7436067
22.25,2023_01,915.1617746
22.75,2023_01,941.0466171
23.25,2023_01,966.2394715
23.75,2023_01,976.5618125
0.25,2023_02,1063.600172
0.75,2023_02,1043.591713
1.25,2023_02,1070.445521
1.75,2023_02,1066.236753
2.25,2023_02,1138.694965
2.75,2023_02,1154.461509
3.25,2023_02,1165.873218
3.75,2023_02,1175.209168
4.25,2023_02,1183.373389
4.75,2023_02,1135.54465
5.25,2023_02,1173.348356
5.75,2023_02,1242.248937
6.25,2023_02,1209.463779
6.75,2023_02,1298.977081
7.25,2023_02,1325.548609
7.75,2023_02,1336.367983
8.25,2023_02,1261.87894
8.75,2023_02,1218.937201
9.25,2023_02,1098.485216
9.75,2023_02,975.853405
10.25,2023_02,963.827355
10.75,2023_02,898.2234021
11.25,2023_02,843.3409238
11.75,2023_02,799.0260889
12.25,2023_02,760.2625253
12.75,2023_02,759.317746
13.25,2023_02,669.770183
13.75,2023_02,760.793271
14.25,2023_02,819.3168077
14.75,2023_02,825.1081322
15.25,2023_02,829.0910162
15.75,2023_02,865.4893565
16.25,2023_02,834.232441
16.75,2023_02,814.119193
17.25,2023_02,814.6039497
17.75,2023_02,875.8070322
18.25,2023_02,844.7098059
18.75,2023_02,864.6685343
19.25,2023_02,876.7074473
19.75,2023_02,900.9740329
20.25,2023_02,901.7718436
20.75,2023_02,918.7934956
21.25,2023_02,923.7573206
21.75,2023_02,929.5700834
22.25,2023_02,956.1719678
22.75,2023_02,1004.853284
23.25,2023_02,1022.761889
23.75,2023_02,1031.630249
0.25,2023_03,3671.236335
0.75,2023_03,3696.127151
1.25,2023_03,3740.625351
1.75,2023_03,3672.405235
2.25,2023_03,3849.372706
2.75,2023_03,3791.970832
3.25,2023_03,3852.648127
3.75,2023_03,4039.936868
4.25,2023_03,3934.424674
4.75,2023_03,3912.398407
5.25,2023_03,3975.543328
5.75,2023_03,4057.926208
6.25,2023_03,4133.786855
6.75,2023_03,4081.708237
7.25,2023_03,4053.020354
7.75,2023_03,3869.147388
8.25,2023_03,3561.370919
8.75,2023_03,3418.021666
9.25,2023_03,3366.398097
9.75,2023_03,3128.004874
10.25,2023_03,3011.114467
10.75,2023_03,2856.127712
11.25,2023_03,2550.427085
11.75,2023_03,2694.9673
12.25,2023_03,2499.793485
12.75,2023_03,2944.825629
13.25,2023_03,2517.410046
13.75,2023_03,2493.457597
14.25,2023_03,2590.785176
14.75,2023_03,2654.977132
15.25,2023_03,2646.39874
15.75,2023_03,2687.724083
16.25,2023_03,2515.976851
16.75,2023_03,2413.034146
17.25,2023_03,2674.849752
17.75,2023_03,2761.345995
18.25,2023_03,2930.936082
18.75,2023_03,2946.641467
19.25,2023_03,3073.244531
19.75,2023_03,3142.168927
20.25,2023_03,3253.15534
20.75,2023_03,3305.80537
21.25,2023_03,3375.284854
21.75,2023_03,3461.800732
22.25,2023_03,3414.878743
22.75,2023_03,3435.938689
23.25,2023_03,3552.796128
23.75,2023_03,3599.450691
0.25,2023_04,2878.388244
0.75,2023_04,2898.19641
1.25,2023_04,2927.437727
1.75,2023_04,2891.418739
2.25,2023_04,3004.323879
2.75,2023_04,3041.885726
3.25,2023_04,3075.252748
3.75,2023_04,3141.352236
4.25,2023_04,3157.943164
4.75,2023_04,3161.706188
5.25,2023_04,3135.335938
5.75,2023_04,3191.87482
6.25,2023_04,3244.388421
6.75,2023_04,3227.279348
7.25,2023_04,3300.165605
7.75,2023_04,3088.79113
8.25,2023_04,2844.665519
8.75,2023_04,2712.913784
9.25,2023_04,2516.377833
9.75,2023_04,2313.832832
10.25,2023_04,2385.043822
10.75,2023_04,2270.979751
11.25,2023_04,2173.330038
11.75,2023_04,2400.67396
12.25,2023_04,2500.056661
12.75,2023_04,2493.674281
13.25,2023_04,1963.918662
13.75,2023_04,1862.085796
14.25,2023_04,1973.754226
14.75,2023_04,1936.711693
15.25,2023_04,1976.119156
15.75,2023_04,1985.148056
16.25,2023_04,2051.983143
16.75,2023_04,2148.908048
17.25,2023_04,2162.432404
17.75,2023_04,2379.31856
18.25,2023_04,2366.657874
18.75,2023_04,2394.150645
19.25,2023_04,2440.683685
19.75,2023_04,2652.752423
20.25,2023_04,2667.154469
20.75,2023_04,2707.290939
21.25,2023_04,2706.694072
21.75,2023_04,2780.338211
22.25,2023_04,2815.118406
22.75,2023_04,2903.105241
23.25,2023_04,2867.536152
23.75,2023_04,2863.330315
0.25,2023_05,1498.213365
0.75,2023_05,1494.271155
1.25,2023_05,1505.597944
1.75,2023_05,1515.679016
2.25,2023_05,1537.714525
2.75,2023_05,1524.533781
3.25,2023_05,1578.642397
3.75,2023_05,1605.337045
4.25,2023_05,1660.017595
4.75,2023_05,1646.337828
5.25,2023_05,1658.663841
5.75,2023_05,1716.795855
6.25,2023_05,1766.572421
6.75,2023_05,1716.188372
7.25,2023_05,1602.833478
7.75,2023_05,1571.372092
8.25,2023_05,1483.563356
8.75,2023_05,1449.131371
9.25,2023_05,1420.460455
9.75,2023_05,1361.972083
10.25,2023_05,1278.548477
10.75,2023_05,1248.455979
11.25,2023_05,1195.254667
11.75,2023_05,1114.705476
12.25,2023_05,1181.170403
12.75,2023_05,1077.779053
13.25,2023_05,977.8444087
13.75,2023_05,951.2767068
